Gene1	Gene2	Expression1	Expression2
PTGDR	PDHA1	4	0.025078901
NMNAT1	NSUN6	6	0.036903031
WDFY3	C19orf2	22	0.050895584
TTC27	WDR13	5	0.061371198
EOMES	C1orf59	6	0.062270592
SYCP2	PDHA1	8	0.062863232
LRRC28	NSUN6	9	0.063174026
FABP4	C19orf2	30	0.064397026
ZNF92	WDR13	5	0.064554691
SFN	C1orf59	1	0.065482081
FBXL17	CYP4X1	2	0.067058235
NUFIP2	GABRB1	4	0.067175658
ARNT	PDHA1	2379	0.068940755
NUBPL	NSUN6	2	0.070682075
C6orf54	C19orf2	6	0.071912717
TMEM74	WDR13	9	0.073561563
POLK	C1orf59	39	0.075483284
CNNM2	PDHA1	9	0.075654964
ZNF644	NSUN6	7	0.07594574
HPS4	CCNB1IP1	5	0.076760748
FAM119A	PDHA1	4	0.076858807
PPIG	NSUN6	3	0.07690572
GALNT3	C19orf2	54	0.077379242
YWHAG	WDR13	2	0.077814535
C9orf93	C1orf59	4	0.078131574
PKIB	PDHA1	67	0.079660577
RFX3	NSUN6	9	0.079925918
NDE1	C19orf2	4	0.080283747
KHDRBS1	PDHA1	1	0.080349289
LILRA5	NSUN6	3	0.082414606
CCDC82	C19orf2	5	0.083763232
SNX12	WDR13	543	0.085727013
CA3	C1orf59	65	0.087132199
PCOLCE2	PDHA1	7	0.087661127
PDE4C	NSUN6	8	0.087890931
