id	sex	WrHnd	NWHnd	WHnd	Fold	Clap	height
1	2	18.5	18	0	0	1	1.73
2	1	19.5	20.5	1	0	1	1.778
3	1	18	13.3	0	1	0.5	NA
4	1	18.8	18.9	0	0	0.5	1.6
5	1	20	20	0	0.5	0	1.65
6	2	18	17.7	0	1	0	1.7272
7	1	17.7	17.7	0	1	0	1.8288
8	2	17	17.3	0	0	0	1.57
9	1	20	19.5	0	0	0	1.75
10	1	18.5	18.5	0	0	0	1.67
11	2	17	17.2	0	1	0	1.562
12	1	21	21	0	0	1	NA
13	2	16	16	0	1	0	1.55
14	2	19.5	20.2	0	1	0.5	1.55
15	1	16	15.5	0	0	0	NA
16	2	17.5	17	0	0	0	1.56
17	2	18	18	0	1	0.5	1.57
18	1	19.4	19.2	1	0	0	1.8288
19	1	20.5	20.5	0	1	1	1.905
20	1	21	20.9	0	0	0	1.77
21	1	21.5	22	0	0	1	1.905
22	1	20.1	20.7	0	1	0	1.8034
23	1	18.5	18	0	1	0	1.8034
24	1	21.5	21.2	0	0	0	1.84
25	2	17	17.5	0	0	1	NA
26	1	18.5	18.5	0	0.5	0.5	NA
27	1	21	20.7	0	0	0	1.7272
28	1	20.8	21.4	0	0	0.5	1.7526
29	1	17.8	17.8	0	1	0.5	NA
30	1	19.5	19.5	0	1	0	1.67
31	2	18.5	18	0	0	0	NA
32	1	18.8	18.2	0	1	0	1.8
33	2	17.1	17.5	0	0	0	1.664
34	1	20.1	20	0	0	0	1.8
35	1	18	19	0	1	0.5	NA
36	1	22.2	21	0	1	0	1.9
37	2	16	16.5	0	1	0	1.68
38	1	19.4	18.5	0	0	0.5	1.825
39	1	22	22	0	0	0	1.85
40	1	19	19	0	0	0.5	1.71
41	2	17.5	16	0	1	0	1.69
42	2	17.8	18	0	0	0	1.5494
43	1	NA	NA	0	0	NA	1.72
44	2	20.1	20.2	0	1	0	1.765
45	2	13	13	NA	1	1	1.8034
46	1	17	17.5	0	0	0.5	1.8034
47	1	23.2	22.7	0	1	1	1.8
48	1	22.5	23	0	0	0	1.7
49	2	18	17.6	0	0	0	1.68
50	2	18	17.9	0	0	1	1.65
51	1	22	21.5	1	0	1	2
52	1	20.5	20	0	1	0	1.9
53	1	17	18	0	1	1	1.7018
54	1	20.5	19.5	0	1	0	1.79
55	1	22.5	22.5	0	0	0	1.82
56	1	18.5	18.5	0	1	0.5	1.71
57	2	15.5	15.4	0	0	0.5	1.5748
58	1	19.5	19.7	0	0	0	NA
59	1	19.5	19	0	1	0	1.778
60	1	20.6	21	1	1	1	1.7526
61	1	22.8	23.2	0	0	0.5	1.87
62	2	18.5	18.2	0	0	0.5	1.6764
63	2	19.6	19.7	0	1	0	1.78
64	2	18.7	18	1	1	1	1.7
65	2	17.3	18	0	1	0.5	1.64
66	1	19.5	19.8	0	0.5	0	1.83
67	2	19	19.1	0	1	0.5	1.72
68	2	18.5	18	0	0	0	NA
69	1	19	19	0	1	0	1.8
70	1	21	19.5	0	1	1	NA
71	2	18	17.5	0	1	1	1.7
