id trait_1 trait_2 trait_3
1 4.345 4.087 1
2 5.208 5.316 1
3 0.949 1.475 0
4 2.34 1.259 1
5 4.226 4.391 1
6 1.081 1.194 0
7 1.873 2.149 1
8 1.42 1.069 0
9 2.126 2.174 1
10 4.091 4.09 0
11 1.103 1.306 0
12 2.197 2.167 1
13 0.922 1.015 0
14 3.609 1.045 1
15 5.377 4.24 1
16 1.324 1.049 0
17 4.685 4.15 1
18 0.922 1.237 0
19 1.972 1.081 1
20 1.353 1.366 0
21 4.435 3.336 1
22 1.349 1.084 0
23 2.078 4.245 1
24 1.46 1.429 0
25 1.89 1.098 0
26 2.947 3.327 1
27 1.003 1.414 0
28 4.291 4.426 0
29 3.249 3.037 1
30 1.058 1.47 0
31 0.812 1.24 0
32 3.345 2.639 1
33 2.789 3.165 0
34 1.458 1.189 0
35 1.061 1.308 0
36 4.57 4.092 1
37 3.264 3.121 1
38 0.448 1.203 0
39 2.092 2.122 1
40 1.099 1.433 0
41 4.013 4.161 0
42 1.974 1.062 1
43 1.202 1.261 0
44 2.217 3.498 1
45 0.788 1.079 0
46 1.308 1.171 0
47 5.373 5.177 1
48 4.266 1.148 1
49 1.25 1.379 0
50 2.459 2.026 1
51 1.217 1.07 0
52 0.935 1.147 0
53 2.875 3.152 1
54 1.88 2.036 1
55 0.557 1.075 0
56 4.497 2.109 1
57 2.439 2.262 0
58 1.605 3.094 1
59 3.326 4.602 1
60 4.723 4.073 1
61 1.48 1.398 1
62 3.516 3.038 1
63 4.579 2.329 1
64 2.148 3.164 1
65 1.13 1.252 0
66 1.167 1.191 1
67 1.445 2.074 0
68 1.286 1.172 0
69 0.927 1.446 1
70 5.569 3.065 1
71 2.02 2.325 1
72 0.955 1.019 0
73 1.028 1.128 1
74 1.792 2.031 1
75 1.41 1.051 0
76 1.128 2.077 0
77 0.839 2.095 0
78 3.196 3.085 0
79 1.448 1.08 0
80 4.328 4.119 1
81 0.87 1.117 0
82 1.345 1.187 1
83 2.335 1.103 1
84 4.735 4.166 1
85 5.401 5.066 1
86 3.406 3.52 1
87 1.745 1.152 1
88 1.078 1.226 0
89 0.961 2.177 0
90 2.278 2.111 1
91 0.851 1.055 0
92 0.945 1.32 0
93 4.61 4.081 1
94 2.569 2.473 1
95 1.204 1.45 0
96 1.754 1.324 0
97 4.467 3.227 1
98 2.508 2.159 1
99 2.273 2.353 1
100 3.148 2.117 1
